artist,song,popularity,uri,url
Iyaz,Replay,73,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,https://open.spotify.com/track/5vlEg2fT4cFWAqU5QptIpQ
Taio Cruz,Dynamite,66,spotify:track:1DqdF42leyFIzqNDv9CjId,https://open.spotify.com/track/1DqdF42leyFIzqNDv9CjId
Black Eyed Peas,I Gotta Feeling,4,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,https://open.spotify.com/track/4vp2J1l5RD4gMZwGFLfRAu
fun.,Some Nights,71,spotify:track:67WTwafOMgegV6ABnBQxcE,https://open.spotify.com/track/67WTwafOMgegV6ABnBQxcE
Rupert Holmes,Escape (The Pina Colada Song),75,spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,https://open.spotify.com/track/5IMtdHjJ1OtkxbGe4zfUxQ
Marvin Gaye,Ain't No Mountain High Enough,0,spotify:track:1LeWIs2hP2r5yOQnVuYoI5,https://open.spotify.com/track/1LeWIs2hP2r5yOQnVuYoI5
Colbie Caillat,Brighter Than The Sun,64,spotify:track:5YTtTbqxUzJHD3CpbNHerP,https://open.spotify.com/track/5YTtTbqxUzJHD3CpbNHerP
Neil Diamond,Sweet Caroline - Single Version,0,spotify:track:6l7tK5SsMlN8a9ccgeIkpS,https://open.spotify.com/track/6l7tK5SsMlN8a9ccgeIkpS
The B-52's,Love Shack,72,spotify:track:4W4wYHtsrgDiivRASVOINL,https://open.spotify.com/track/4W4wYHtsrgDiivRASVOINL
Katrina & The Waves,Walking On Sunshine,80,spotify:track:05wIrZSwuaVWhcv5FfqeH0,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0
Vance Joy,Riptide,84,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
The Lumineers,Ho Hey,36,spotify:track:2nXM8IVqKtyO6JKsLlXWAy,https://open.spotify.com/track/2nXM8IVqKtyO6JKsLlXWAy
Journey,Don't Stop Believin',63,spotify:track:3HRQtRUYnnuZY7fE900XtJ,https://open.spotify.com/track/3HRQtRUYnnuZY7fE900XtJ
Smash Mouth,All Star,0,spotify:track:22c2pt75xtnDddA5Zlm0yy,https://open.spotify.com/track/22c2pt75xtnDddA5Zlm0yy
Beyoncé,Single Ladies (Put a Ring on It),70,spotify:track:5R9a4t5t5O0IsznsrKPVro,https://open.spotify.com/track/5R9a4t5t5O0IsznsrKPVro
Jason Derulo,Ridin' Solo,56,spotify:track:7ksYJ95P5vP87A0GH34CIk,https://open.spotify.com/track/7ksYJ95P5vP87A0GH34CIk
One Direction,What Makes You Beautiful,0,spotify:track:03oZejWqXLbKhhM4iTgShq,https://open.spotify.com/track/03oZejWqXLbKhhM4iTgShq
Carly Rae Jepsen,Call Me Maybe,81,spotify:track:20I6sIOMTCkB6w7ryavxtO,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO
Lynyrd Skynyrd,Sweet Home Alabama,0,spotify:track:6RgGppm2SSX5p246UqfdEi,https://open.spotify.com/track/6RgGppm2SSX5p246UqfdEi
Bon Jovi,Livin' On A Prayer,0,spotify:track:3X7abqSXC4xrxuC1ykpWcY,https://open.spotify.com/track/3X7abqSXC4xrxuC1ykpWcY
Creedence Clearwater Revival,Have You Ever Seen The Rain,85,spotify:track:2LawezPeJhN4AWuSB0GtAU,https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU
"Earth, Wind & Fire",September,0,spotify:track:5e3l460eVGMNqQgFc9Rv7q,https://open.spotify.com/track/5e3l460eVGMNqQgFc9Rv7q
Vanilla Ice,Ice Ice Baby,35,spotify:track:66AiuTr5v9tw6B8gXau2aU,https://open.spotify.com/track/66AiuTr5v9tw6B8gXau2aU
A Great Big World,Say Something,75,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,https://open.spotify.com/track/6Vc5wAMmXdKIAM7WUoEb7N
Rascal Flatts,Life is a Highway,75,spotify:track:2Fs18NaCDuluPG1DHGw1XG,https://open.spotify.com/track/2Fs18NaCDuluPG1DHGw1XG
Bruno Mars,Just the Way You Are,84,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
